Title,reviews,Looks,comfort,performance,fuel_eco,vfm
Just Awesome,"Way to go with this lil giant. Awesome driving experience with comfort. Great mileage and pickup... Smooth and fast along with the stylish icons. I guess ""More Car per Car"" would be the idle slogan for this beast.",4,4,4,5,3
Good But not Great,"Looks like one of the best manufacturers building this car, Have a lot of hope for buying this. People are screwed by make in India concept, Have to agree to disagree !! Will update more thoughts later.",5,5,3,5,5
BYD electric using Blade technology Review WHY and NOT,"Buying Experience Buying experience would be great as BYD is setting up itself in India very supportive and experienced staff they are hiring with good knowledge of EV technology and systems. Showrooms equipped with all basic facilities and high-class ambience. Driving experience As we know Electric cars are power monsters and it holds true for BYD atto 3 as well giving you 300 NM torque which can be feel while driving the car. Should buy for a good driving range, which is currently Hyundai ionic 5 is offering after charging around 48lakhs. Details & looks Unique design and attractive LED setup in cabin and exteriors headlamps and backlight paint quality is good colours are also attractive. Interior is unique and feels like Cruze plane or cockpit-like console. Servicing and Maintenance Still this part is not very clear as they are currently entering in India with some models in terms of maintenance very few service centres are available across India. cons :-- 1. Complete Chinese built and technology 2. Tyres and spare parts Also Chinese car is packed with Chinese tyres ""BATMAN"" ultra gip. 3. Not sure about the service centre and cost of services. 4. Not sure about after-sales support as in electric vehicles there are various minute issues you face on regular basis like charging not working, charger get stuck to the vehicle and unable to detach. 5. Cost is little bit higher side in UP after subsidy in registration charges it is costing around 36,800,00 which is higher in terms of cost to drive prizes should be near around 25-28 lakhs. 6. Dash or super quick charging is missing which Hyundai Ionic is providing (20 min pugging adds up 90% of charging with 230KWH DC charger). Pros: -- 1. Very much comfortable whether it is seating cushioning or leg room space for rear passengers 2. Very spacious and boot size is also good around 500 lit. 3. Car length is about 4580mm which is quite good. 4. Music system quality is superb just like you get in BMW or Mercedes. 5. Driving range is somewhere around 430 to 450 depending upon driving conditions.",5,5,5,4,3
BYD Atto 3 Review,"The dealership experience was good but need more refinement, there are some basics missed by the sales staff required for a customer on charging challenges information for a new EV user. The driving is awesome, performance of the car is really nice, Complete package with value of Money, excellent pickup, road confidence. I have shifted from Skoda to BYD and this EV brand understands the need of customer. Few areas of improvement, Technology support and information guidance is missing. At this point of time India is improving EV infrastructure. The EV charging points and how to charge the vehicle should be informed by dealership with a small demo. I have brought Atto 3 last week only and not experience on service workshop which will be done post 5000 km Finally I can say that the car is a complete satisfaction package for all your needs - Family, Friends, everyone.",5,4,5,5,5
Sub par car with sub par battery,"MG is taking India lightly. No 73kwh battery is given compared to Nepal and price is 3 to 4 lakhs higher and there is no facelifted version. Thank God I cancelled mine, If MG lunches the 73kwh battery version for a few lakhs more it would sell like hot cakes. They are thinking no matter how sub par the product may be Indian buyer will buy it.",3,3,3,1,1
MG ZS EV,I Am Facing Technical Issues With Regard to Software And Hardware Like Ac And Other Switches.They are not Functioning.And MG Service Delaer Including MG Staff Unable to Find Out Fault Since Last 1 Month. So Caar Is With Their Service Dealer And They Are Just Doing Experiment. Good Thing About Car Is that It Is A Sturdy Car With Good Pick Up,3,3,3,4,2
MG ZS EV,This is further to update on my earlier review that car is still with MG service dealer.As per direction of MG technicians they are guessing that there may be issue of electrical wiring and control panel.Hence they are changing these items and opened the car for surgery from head to tail.God knows the items which are fitted at factory by robot or manually how it will work.After being fitted at service centre.I would say it is terrible product so far in my case it is proved.I will further update after few more weeks.I have asked MG India to replace my car so just awaiting for their reply.,3,3,1,3,1
Not Worth to buy MG ZS EV,Exterior and interior design is good but panoramic sunroof is not much require in Indian climate that's wasting of money. One more thing is that eight lacks RS difference between TATA Nexon ev max is not worth Plus servicing issue with some MG buyers so I would like to say you again think about price if you want to compete with NEXON EV MAX. If price difference is about 1.5 to 2.0L then people will think about to purchase MG ZS EV definitely i agree mg battery is plus 10kw as compared to Nexon ev max.,5,5,5,3,1
The best EV you can buy under 25 Lakh,"Having driven over 1000kms the mg zs ev excite is a fantastic car. The range is over 350km on highway. In cities, the range is between 260-320km. The suspension is on the softer side. Ground clearance is good. The performance is stellar for a sub 25L car. MG service so far has been outstanding. The cons so far are the 360 cameras are of poor quality, no auto dimming irvm or electrically folded orvm in the base model. No ventilated seats or rear arm rest. The car is amazing to drive. Highly recommended.",5,5,5,5,5
MG ZS EV review,"While sub 30L EVs choices are still quite limited now, my major choice between MG ZS and Nexon EV was, like most other buyers, range anxiety. Nexon looks decent, almost 8L cheaper lost because talking to some owners gave me worries about being less 250KM on full charge. 250 is a distance that's not bad for city drivers. But given how EV Charging infrastructure is in India right now seemed risky. Some users do claim 300 Range on EV MAX but when I checked in their App stats that seemed like far fetched claim. Glad to have chosen MG ZS though the cost was quite higher. ARAI claim was 461KM but after crossing 2000 KM on my MG including a 1000KM long drive I can pretty much have a honest stat to provide. City driving: You will easily get 320-350 depending on your driving habit. Highway driving: if you drive well, utilizing cruise controls, non-aggressive accelerations, KERS braking you can easily get 380-400. Having sunroof a little open or AC on internal circulation, you can conserve range well. But you will definitely sacrifice somewhat 20-30KM. Performance: Well, ECO mode is what you mostly need, Normal has a lot of power. Sports mode, save it for afterlife. the car never feels lacking power even in Eco mode. In fact, Steep office parking ramps are easily overpowered in ECO mode itself. I have done 150 Km/h in eco mode easily. Haven't tried that in SPORTS. Hill driving is smooth. There is hill decent assist as well. Auto brakes assist not rolling backwards. Superb easy to drive. Looks: Car looks great from front (Minus the front grill that they have reworked out of Astor, made of flimsy plastic. you can bend it with single finger press ). I really hope MG redoes the front grill for ZS EV. The back is really ordinary. Nothing of it looks like a 28L+ car. No Fog lamps (WTF MG), Headlights are decent (Expected more lumens). Panoramic Sun roof is great. Interior is pretty good, premium and organized. Features: No complains. Although 360 camera is pretty bad quality, not very useful other than kind of guessing what's being shown, you cannot guess how far things are on the sides. Images are very very distorted. But getting to see your wheels help. Comfort: Expected better stabilized soft suspensions. The car has higher ground clearance, therefore every pothole shakes your whole body like some weird dance move. Seats are comfortable premium leather. But not ventilated. Long trips make you sweat a lot. Overall verdict: A great car but at a premium price. To compete with all the upcoming EVs MG needs to bring it down to a rational level. Else very few will buy it once Govt. stops zero road tax scheme on EVs. Cause the car will easily cross 32L mark there.",5,5,5,5,4
Best Ev out there,I am a very satisfied customer of MG ZS The car provides me with a range of over 350 km the car is there a responsible and very quick when it comes to acceleration The car has cut down my travelling costs to a minimum because the cost of running this car is from 50 Paisa to 80 Paisa per kilometre Very highly recommended to people who travel a lot on a daily basis. The features and the service offered by Mg is very delightful and useful,5,5,5,5,4
Worst Road Side Assistance,Worst roadside assistance service. Standing on the road because of the fault in the system and raised roadside assistance request at 11:00 AM and no service is provided until 09:00 PM. We were standing on the road the whole day.,5,3,4,3,3
Warranty is fake. Nothing gets repaired without insurance claim,A very poor car. The car does not even show the range (km) the company claims even after full charge. Servicing is always pathetic. Keep receiving calls from service people to give best ratings even when they have done shoddy work. Sensors of car go haywire and service company looks the other way and does nothing. So much for the warranty as they just want to dupe customer and force customer to go for insurance claim in spite of their job to rectify the issues.,2,2,1,1,1
MG ZS EV review,Buying experience was a bit tedious as we had to purchase for our company. The time taken was a little longer. Other than all good about the car. The wheel caps are of cheap quality.,4,5,5,4,4
Be a change harbinger : Embrace the future,"I test-drove the MG EV Exclusive. The experience was awesome. Good looks, spacious, great pickup (it flies on Sports Mode), very efficient in cost/km and run/charge and eco-friendly.",4,5,5,5,4
MG ZS EV 2021 - Currant Red Exclusive (My EV beast),"MG ZS EV Red Current Exclusive model - 2 months (~2700Kms), This car exterior looks are stunning and gives a proper SUV look. Just fell in love with it. Performance and range is just amazing. range: 300-350. I have already driven a long trip of 3 days of about 1100 kms without having hassle of charging issues. A little bit of planning required and you will enjoy your journey. It really feels like a flight taking off when we switch to sport mode and accelerate from 0 to 100, which generates massive torque of 350 nm and a rubber band effect while cruising in. Charging infra in Bengaluru is too good and its growing rapidly, but govt. and charging infra companies need to understand that more than in Cities the charging stations are required in Highways. In Cities mostly we use home charging which is way too much to daily commute. Overall its a pleasure and pride to own an EV. Doesn't matter whether its MG or TATA or Mercedes or Hyundai. Yes the EV car prices are expensive, but very soon its going to reduce as battery technology improves. I also see there is lot of lack of knowledge and myths about EV's in people which I will try to cover in my very first blog soon. I will try to address below questions about EV. 1) Why EV? 2) Can I go for long drives in EV? 3) Resale value of EVs? 4) Are EVs really environment friendly? 5) Charging apps and Home Charging facilities 6) Battery technology trends 7) MG ZS EV (I Own) 8) Ather 450X (I Own) 9) Other EVs 10) Regenerative Breaking",5,5,5,5,5
Bought MG ZS EV,I bought an mg zs evand the experience was great. The staff is experienced and customer handling is best. i am happy with mg motors. services.,5,5,5,5,5
Genuine review,Best electric car in Indian market. Imported from Netherlands and assembled in Gujarat. Having a battery pack of 44.5 kwh range of 300-400 km. Will get a minimum range of 300km with ac and 370km without ac ( Nexon is having 30kwh battery 180-250 km range will get a minimum range of 180km with ac and 250 without ac).,5,5,5,5,5
MG ZS E V,Best car in segment. Go for it. I like it. The best comfortable car. It has a very good engine and does not sound like a single burr. It is my best car I think in this segment. Go for it. Go for it please.,5,5,5,5,5
VALUE FOR MONEY - GO FOR IT!!!!!,"The car performs as expected. One charge range is around 260-270 kms on highways at 100 km/h with air-conditioning turned on. The range increases to 300-310 kms if speed is reduced to 80 km/h on highways with air-conditioning turned on. In city conditions, if driven on a light foot at a speed up to a max of 65 km/h, the range increases to 345-355 kms with air-conditioning turned on. The range increases by about 15% for full charge if air-conditioning is turned off. I have done 2 trips to Chennai and back from my home town (erode) which is around 420-430 kms away, With one stop of 30-40 minutes for charging in a 50kw charger during which I have my breakfast in the hotel right next to it. The total cost worked out to around Rs.1.5/ per km when you when you average the charging cost done at home with the charge done at the highway using the 50kw charger. The cost reduces further to Rs. 0.70 - 0.80 paise if charged only at home during everyday use. It makes sense to buy an EV only if you do a minimum of 1700-2000 kms per month. If your monthly running is any lesser, It would make more sense to buy a petrol car and use the extra money that would have been used to buy the EV on fuel. A lot of charging stations are coming up on highways which would make it easier to travel in an EV. The only catch is you have to plan an extra hour in your travel time for charging which I personally feel is ok, when you consider the money saved on fuel. I personally would have shelled out Rs.7500/- on a round trip of 1000 kms using my ICE car. I paid a total of Rs.1500-1600/- on the same round trip combining the charging cost at home with the charge done at the public charging station.",4,4,5,5,4
Terrible customer service,"The sales experience for this car was pretty smooth. The car is a decent car, but it seems I have received a defective piece. The worst part is the customer service, this is easily the worst customer service I have received from any company in my life, I literally have to run behind them to even get them on call. I would advise you to steer clear of all MG products.",3,4,1,1,3
MG EV Icon,"I love this car because it's give a lot of power, mileage and features. I think this car is going to be the icon of all ev cars. It's price is affordable. This is a fully loaded package ev car. It gives great power, features, safety and value for money package car.",5,5,5,5,5
Nice drive but mileage drops on highway,"Mileage drops by 20% with AC on, and a further 20% on a highway. Max range of 320 drops to only about 240 on a highway with AC. Not suitable for long drives, and only city driving, for which it is too expensive.",4,3,3,2,2
Awesome,"Now a days petrol prices are raising day by day, so we want to implement for electric car Save pollution in city and smooth drive for the feature life, Nice investment for the feature. Don't miss the awesome car book again as soon as possible Don't miss the chance, Have a nice day",5,5,5,5,5
Torque beast,"Being an existing Volvo owner of the V40 and S60 CC, i was very excited about the XC40 recharge. Received an invitation from Martial motors Bangalore on launch day and they were kind enough to arrange a test drive. Driving experience:- The Ev like most of them are dead silent, the power and torque is probably the best I've experienced so far in my life. 408 BHP and around 600 NM of torque will surely cause some people to get a headache from the head going back onto the comfortable orthopedic seats. It zoom passed 140 in Bangalore traffic roads in under 8 secs... 0-100 in around 5 secs. The car is a tad smaller compared to the rivals... But 60 lacks is probably worth paying considering you get a solid rock hard kind of a tank with insane speeds and acceleration and humble and affordable Volvo service. Over all a great car and a wonderful experience.",5,3,5,5,4
A dashing car,Best electric suv ever Best sitting and comfort Amazing look Best boot space and big size Dashboard is looking cool and stylish Motion sensors and camera's picture quality is good,5,5,5,5,5
No comparison with others EV,"World safest car build quality is also best ,excellent and smooth driving experience, superb look as well as interior, great performance! No more extra maintenance service in budget.",5,5,5,5,5
My Volvo car review after driving 1000 kms,"Volvo starts its journey in India with the XC40 Recharge, its first-ever fully electric car and also, the first model to appear in its brand-new Recharge car line concept. While the Swede seeks to make all-electric cars 50 per cent of its global sales by 2025, the other half will consist of mild-hybrid and plug-in hybrids. For 2022, the company reworks the Volvo XC40 with fresher styling cues, more features on the inside, and a mild-hybrid petrol motor. I really enjoyed a lot driving with this. This car feels comfortable in the village area also. And one thing to tell you it gives me around 350 to 380 range tried in mixed condition. Overall a great car if you look for comfort & safety.",4,4,5,4,4
Best electric car ever,One of best electric car in India safety wise range wise & looks all over very good car I ever seen... I'll definitely want to buy this car in few months... Volvo is the safest brand,5,5,5,4,4
Hyundai Kona review,"Pretty good car, smooth as a glider fast car, instant pickup and the range in one charge is also pretty good as well, so we can go more miles, a catchy car grab our eye balls everyone wants to ride this",5,5,5,5,5
Hyundai is just everything... Fullypacked,"Amazing,Amazing Fully electric car with amazing power delivery and Battery efficiency with amazing warrenty. Hyundai did great job. Surely Hyundai is the Future for Automotive One thing in India the govt must reduce the tax of this car.. by govt tax its around 30lakh in my city.. but with out tax its about 25lakh... Indian Govt please reduce the tax..",5,4,5,5,5
Awesome car,Wow its an awesome car. And a great car for all people. But they are not launched by manual gear. This are the mistakes. If they launched the manual gear its very great. Please fix an manual gear as soon as posible. While iam seeing the Hyundai car all are awesome. So all of u just trust the Hyundai and buy the car.,5,5,5,5,5
My first Drive Experience,"Such a very excellent drive, very comfortable, digital and save environment save fuel for future energy. So sporty feel and save money they help easy life and fast-changing option entire zone so cool future tech.",5,5,5,5,5
"Amazing experience about driving, nice interior and exterior","Very good performance, silent engine sound, amazing interior and exterior design, low-cost maintenance, comfortable seat driving seat space is good, backspace is amazing. Overall good!",5,5,5,5,5
The best of all best for the perfect costumer,"This car is a perfect, modern and stylish car one thing I like about the car it's is long-range and is safe and it so eye-catching a man just cross the road just to ask which Hyundai car is this lastly I love this car I hope you do thanks for your time",5,5,5,5,5
Good,Amazing car..you need to feel the car before making a comment..ev world is different and we need to understand how to adjust inn..happy motoring....................................,5,5,5,5,5
Excellent,Good experience good driving experience all performance good very low maintenance good buying experience and driving experience and good looking wise and good performance etc. Low maintenance,5,5,5,5,5
The new premium,"Except for the short legroom in the rear, this is a performance car. I wish they are completely removed the boot as electrics will be only a second or third car in most families. This would have given far more leg room for rear passengers. Brilliant car otherwise.",5,3,5,5,4
Concern of price and charging facilities.,Price difference between petrol and electronic could not convince customer to buy electronic car. Difference amount can use for Life time use of petrol diesel car. Moreover long ride is big concern for charging. Only useful for fix route of almost 100 km. Price should be reduced and charging pump should be developed more.,4,4,5,3,2
